league,season,date,home_team,away_team,FTHG,FTAG,FTR,home_xg,away_xg,home_elo,away_elo,elo_diff,home_form_l5,home_form_l10,home_finishing_efficiency_l5,home_finishing_efficiency_l10,home_attacking_xg_l5,home_attacking_xg_l10,home_defensive_xg_l5,home_defensive_xg_l10,home_rest_days,away_form_l5,away_form_l10,away_finishing_efficiency_l5,away_finishing_efficiency_l10,away_attacking_xg_l5,away_attacking_xg_l10,away_defensive_xg_l5,away_defensive_xg_l10,away_rest_days,form_diff_l5,form_diff_l10,attack_vs_defense_l5,defense_vs_attack_l5
GER-Bundesliga,2526,2026-08-03,St Pauli,Ein Frankfurt,,,,,,1555.26184082,1666.65637207,-111.39453125,3.0,3.0,0.3378300000000001,0.3378300000000001,1.66217,1.66217,0.912627,0.912627,79.0,1.0,1.0,0.703187,0.703187,0.296813,0.296813,1.27118,1.27118,79.0,2.0,2.0,0.39098999999999995,0.615814
GER-Bundesliga,2526,2026-08-03,Union Berlin,Werder Bremen,,,,,,1622.77209473,1620.79553223,1.9765625,1.0,1.0,-0.27118,-0.27118,1.27118,1.27118,0.296813,0.296813,79.0,0.0,0.0,-1.12332,-1.12332,1.12332,1.12332,0.36452,0.36452,79.0,1.0,1.0,0.90666,-0.8265070000000001
ITA-Serie A,2526,2026-08-03,Napoli,Torino,,,,,,1802.6505127,1630.54516602,172.10534668000014,3.0,3.0,1.10216,1.10216,1.89784,1.89784,1.32462,1.32462,71.0,1.0,1.0,0.9865999999999999,0.9865999999999999,1.0134,1.0134,1.27203,1.27203,71.0,2.0,2.0,0.62581,0.31121999999999983
ITA-Serie A,2526,2026-08-03,Atalanta,Udinese,,,,,,1790.18823242,1623.22949219,166.9587402300001,3.0,3.0,-1.12119,-1.12119,3.12119,3.12119,0.914806,0.914806,71.0,0.0,0.0,0.10496899999999998,0.10496899999999998,0.895031,0.895031,2.18624,2.18624,71.0,3.0,3.0,0.9349499999999997,0.019774999999999987
ITA-Serie A,2526,2026-08-03,Cagliari,Como,,,,,,1616.90344238,1736.55407715,-119.65063477000012,0.0,0.0,-0.613133,-0.613133,0.613133,0.613133,2.20426,2.20426,71.0,1.0,1.0,-5.96884,-5.96884,5.96884,5.96884,0.785014,0.785014,71.0,-1.0,-1.0,-0.17188099999999995,-3.76458
ITA-Serie A,2526,2026-08-03,Fiorentina,Parma,,,,,,1645.61462402,1600.06640625,45.54821777000007,1.0,1.0,0.72797,0.72797,1.27203,1.27203,1.0134,1.0134,71.0,3.0,3.0,0.806959,0.806959,0.193041,0.193041,1.64658,1.64658,71.0,-2.0,-2.0,-0.37454999999999994,0.8203590000000001
ITA-Serie A,2526,2026-08-03,Genoa,Roma,,,,,,1626.42260742,1803.15795898,-176.73535156000003,0.0,0.0,0.6753800000000001,0.6753800000000001,1.32462,1.32462,1.89784,1.89784,71.0,3.0,3.0,-0.2042600000000001,-0.2042600000000001,2.20426,2.20426,0.613133,0.613133,71.0,-3.0,-3.0,0.7114869999999999,-0.30642000000000014
ITA-Serie A,2526,2026-08-03,Juventus,Pisa,,,,,,1822.34020996,1519.54919434,302.79101562000005,1.0,1.0,-0.8560699999999999,-0.8560699999999999,2.85607,2.85607,0.808824,0.808824,71.0,1.0,1.0,-1.26143,-1.26143,1.26143,1.26143,0.0783843,0.0783843,71.0,0.0,0.0,2.7776856999999997,-0.45260600000000006
ITA-Serie A,2526,2026-08-03,Lazio,Sassuolo,,,,,,1721.56140137,1616.17126465,105.3901367200001,1.0,1.0,1.191176,1.191176,0.808824,0.808824,2.85607,2.85607,71.0,0.0,0.0,-0.721597,-0.721597,0.721597,0.721597,2.75112,2.75112,71.0,1.0,1.0,-1.9422959999999998,2.134473
ITA-Serie A,2526,2026-08-03,Lecce,Cremonese,,,,,,1557.09606934,1557.72375488,-0.6276855399999022,3.0,3.0,-0.18624000000000018,-0.18624000000000018,2.18624,2.18624,0.895031,0.895031,71.0,0.0,0.0,0.08519399999999999,0.08519399999999999,0.914806,0.914806,3.12119,3.12119,71.0,3.0,3.0,-0.9349499999999997,-0.019774999999999987
