team,league,pts,ens_projected,ens_p5,ens_p95,ens_rank,ml_projected,elo_projected,ml_vs_elo,ml_rank,ens_vs_rf,ens_vs_elo
RB Leipzig,GER-Bundesliga,39,61.1099,54.0,68.0,4,60.3,59.9,0.3999999999999986,4,0.8099000000000061,1.2099000000000046
Stuttgart,GER-Bundesliga,39,59.8389,53.0,67.0,5,57.8,59.4,-1.6000000000000014,6,2.0389000000000053,0.43890000000000384
Leverkusen,GER-Bundesliga,36,59.6204,52.0,67.0,6,58.7,60.8,-2.0999999999999943,5,0.9203999999999937,-1.1796000000000006
Freiburg,GER-Bundesliga,30,47.0407,40.0,54.0,7,46.7,48.4,-1.6999999999999955,7,0.3406999999999982,-1.3592999999999975
Ein Frankfurt,GER-Bundesliga,28,45.3254,38.0,53.0,8,44.8,46.3,-1.5,8,0.5254000000000048,-0.9745999999999952
Union Berlin,GER-Bundesliga,25,40.6202,34.0,48.0,9,41.2,41.5,-0.2999999999999971,9,-0.5798000000000059,-0.879800000000003
Mainz,GER-Bundesliga,21,39.38,32.0,47.0,10,39.3,37.8,1.5,10,0.0800000000000054,1.5800000000000054
Augsburg,GER-Bundesliga,22,37.0885,30.0,45.0,11,36.7,37.4,-0.6999999999999957,13,0.3885000000000005,-0.3114999999999952
M'gladbach,GER-Bundesliga,22,36.4557,30.0,44.0,12,37.5,37.9,-0.3999999999999986,11,-1.0442999999999998,-1.4442999999999984
FC Koln,GER-Bundesliga,23,36.0957,29.0,43.0,13,35.9,36.9,-1.0,14,0.1957000000000022,-0.8042999999999978
Hamburg,GER-Bundesliga,22,36.0467,29.0,44.0,14,37.5,36.7,0.7999999999999972,11,-1.4532999999999987,-0.6533000000000015
Werder Bremen,GER-Bundesliga,19,34.7902,28.0,42.0,15,35.2,35.1,0.1000000000000014,15,-0.40980000000000416,-0.30980000000000274
Wolfsburg,GER-Bundesliga,19,34.6106,27.0,42.0,16,34.1,33.7,0.3999999999999986,16,0.5105999999999966,0.9105999999999952
St Pauli,GER-Bundesliga,17,30.0691,23.0,37.0,17,31.5,30.6,0.8999999999999986,17,-1.4309000000000012,-0.5309000000000026
Heidenheim,GER-Bundesliga,13,25.6323,19.0,33.0,18,25.4,24.8,0.5999999999999979,18,0.23230000000000217,0.8323
Inter,ITA-Serie A,58,88.2284,81.0,95.0,1,86.3,85.8,0.5,1,1.9283999999999963,2.4283999999999963
Milan,ITA-Serie A,50,78.1506,70.0,86.0,2,78.1,77.3,0.7999999999999972,2,0.050600000000002865,0.8506
Napoli,ITA-Serie A,49,74.7949,67.0,82.0,3,73.3,74.2,-0.9000000000000057,3,1.4949000000000012,0.5948999999999955
Juventus,ITA-Serie A,46,70.8728,64.0,78.0,4,69.5,70.2,-0.7000000000000028,4,1.372799999999998,0.6727999999999952
Roma,ITA-Serie A,46,70.7188,63.0,78.0,5,69.2,69.7,-0.5,5,1.5187999999999988,1.0187999999999988
Como,ITA-Serie A,41,66.0424,58.0,74.0,6,65.0,64.0,1.0,6,1.0424000000000007,2.0424000000000007
Atalanta,ITA-Serie A,39,63.1616,55.0,71.0,7,61.8,61.1,0.6999999999999957,7,1.3616000000000028,2.0615999999999985
Lazio,ITA-Serie A,33,52.2932,45.0,60.0,8,51.0,53.4,-2.3999999999999986,8,1.2931999999999988,-1.1067999999999998
Bologna,ITA-Serie A,30,49.0134,42.0,57.0,9,49.4,49.6,-0.2000000000000028,9,-0.3866000000000014,-0.5866000000000042
Udinese,ITA-Serie A,32,47.8679,41.0,55.0,10,47.3,48.5,-1.2000000000000028,10,0.5679000000000016,-0.6321000000000012
Sassuolo,ITA-Serie A,29,45.4504,38.0,53.0,11,44.7,45.9,-1.1999999999999955,11,0.7503999999999991,-0.44959999999999667
Torino,ITA-Serie A,27,44.6577,37.0,52.0,12,43.9,44.4,-0.5,12,0.7576999999999998,0.2576999999999998
Cagliari,ITA-Serie A,28,44.6294,37.0,52.0,13,43.5,45.2,-1.7000000000000028,13,1.1293999999999969,-0.570600000000006
Parma,ITA-Serie A,26,42.1138,35.0,49.0,14,41.5,42.2,-0.7000000000000028,14,0.6137999999999977,-0.08620000000000516
Genoa,ITA-Serie A,23,37.8801,31.0,46.0,15,38.3,39.6,-1.3000000000000045,15,-0.4198999999999984,-1.7199000000000026
Cremonese,ITA-Serie A,23,36.6203,30.0,44.0,16,36.3,38.4,-2.1000000000000014,16,0.32030000000000314,-1.7796999999999983
Fiorentina,ITA-Serie A,18,35.4699,28.0,43.0,17,36.2,36.2,0.0,18,-0.7301000000000002,-0.7301000000000002
Lecce,ITA-Serie A,21,34.8288,28.0,42.0,18,36.3,34.6,1.6999999999999955,16,-1.471199999999996,0.22879999999999967
Pisa,ITA-Serie A,15,28.0935,21.0,35.0,19,29.0,27.8,1.1999999999999993,19,-0.9065000000000012,0.2934999999999981
Verona,ITA-Serie A,15,26.4969,20.0,34.0,20,26.9,27.4,-0.5,20,-0.40309999999999846,-0.9030999999999985
