league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
GER-Bundesliga,2324,2024-02-09 Borussia Dortmund-Freiburg,3,2023,23246,2024-02-09 19:30:00,129,135,Borussia Dortmund,Freiburg,FRE,DOR,3,0,3.21996,0.230074,True,True,https://understat.com/match/23246
GER-Bundesliga,2324,2024-02-10 Augsburg-RasenBallsport Leipzig,3,2023,23251,2024-02-10 14:30:00,121,136,Augsburg,RasenBallsport Leipzig,RBL,AUG,2,2,0.965916,1.78901,True,True,https://understat.com/match/23251
GER-Bundesliga,2324,2024-02-10 Bayer Leverkusen-Bayern Munich,3,2023,23250,2024-02-10 17:30:00,119,117,Bayer Leverkusen,Bayern Munich,BAY,LEV,3,0,1.22993,0.710198,True,True,https://understat.com/match/23250
GER-Bundesliga,2324,2024-02-10 Borussia M.Gladbach-Darmstadt,3,2023,23245,2024-02-10 14:30:00,130,127,Borussia M.Gladbach,Darmstadt,DAR,BMG,0,0,1.47353,0.817722,True,True,https://understat.com/match/23245
GER-Bundesliga,2324,2024-02-10 Eintracht Frankfurt-Bochum,3,2023,23252,2024-02-10 14:30:00,132,268,Eintracht Frankfurt,Bochum,BOC,EIN,1,1,2.44154,1.27691,True,True,https://understat.com/match/23252
GER-Bundesliga,2324,2024-02-10 Union Berlin-Wolfsburg,3,2023,23248,2024-02-10 14:30:00,240,131,Union Berlin,Wolfsburg,WOL,UNI,1,0,0.575454,1.08099,True,True,https://understat.com/match/23248
GER-Bundesliga,2324,2024-02-10 Werder Bremen-FC Heidenheim,3,2023,23249,2024-02-10 14:30:00,123,280,Werder Bremen,FC Heidenheim,HEI,WER,1,2,1.62589,2.1722,True,True,https://understat.com/match/23249
GER-Bundesliga,2324,2024-02-11 Hoffenheim-FC Cologne,3,2023,23247,2024-02-11 16:30:00,120,134,Hoffenheim,FC Cologne,COL,HOF,1,1,0.726907,0.172441,True,True,https://understat.com/match/23247
GER-Bundesliga,2324,2024-02-11 VfB Stuttgart-Mainz 05,3,2023,23253,2024-02-11 14:30:00,133,125,VfB Stuttgart,Mainz 05,MAI,STU,3,1,2.17007,1.61535,True,True,https://understat.com/match/23253
GER-Bundesliga,2324,2024-02-16 FC Cologne-Werder Bremen,3,2023,23258,2024-02-16 19:30:00,134,123,FC Cologne,Werder Bremen,WER,COL,0,1,0.627448,1.35198,True,True,https://understat.com/match/23258
GER-Bundesliga,2324,2024-02-17 Darmstadt-VfB Stuttgart,3,2023,23262,2024-02-17 14:30:00,127,133,Darmstadt,VfB Stuttgart,STU,DAR,1,2,2.66748,1.74454,True,True,https://understat.com/match/23262
GER-Bundesliga,2324,2024-02-17 FC Heidenheim-Bayer Leverkusen,3,2023,23261,2024-02-17 14:30:00,280,119,FC Heidenheim,Bayer Leverkusen,LEV,HEI,1,2,0.698981,1.87986,True,True,https://understat.com/match/23261
GER-Bundesliga,2324,2024-02-17 Hoffenheim-Union Berlin,3,2023,23259,2024-02-17 14:30:00,120,240,Hoffenheim,Union Berlin,UNI,HOF,0,1,1.24508,2.1649,True,True,https://understat.com/match/23259
GER-Bundesliga,2324,2024-02-17 Mainz 05-Augsburg,3,2023,23257,2024-02-17 14:30:00,125,121,Mainz 05,Augsburg,AUG,MAI,1,0,2.62289,0.612185,True,True,https://understat.com/match/23257
GER-Bundesliga,2324,2024-02-17 RasenBallsport Leipzig-Borussia M.Gladbach,3,2023,23254,2024-02-17 17:30:00,136,130,RasenBallsport Leipzig,Borussia M.Gladbach,BMG,RBL,2,0,1.49022,0.944074,True,True,https://understat.com/match/23254
GER-Bundesliga,2324,2024-02-17 Wolfsburg-Borussia Dortmund,3,2023,23256,2024-02-17 14:30:00,131,129,Wolfsburg,Borussia Dortmund,DOR,WOL,1,1,2.11967,1.21109,True,True,https://understat.com/match/23256
GER-Bundesliga,2324,2024-02-18 Bochum-Bayern Munich,3,2023,23260,2024-02-18 16:30:00,268,117,Bochum,Bayern Munich,BAY,BOC,3,2,2.08495,2.86883,True,True,https://understat.com/match/23260
GER-Bundesliga,2324,2024-02-18 Freiburg-Eintracht Frankfurt,3,2023,23255,2024-02-18 14:30:00,135,132,Freiburg,Eintracht Frankfurt,EIN,FRE,3,3,2.77236,1.35483,True,True,https://understat.com/match/23255
GER-Bundesliga,2324,2024-02-23 Bayer Leverkusen-Mainz 05,3,2023,23268,2024-02-23 19:30:00,119,125,Bayer Leverkusen,Mainz 05,MAI,LEV,2,1,1.47222,0.471019,True,True,https://understat.com/match/23268
GER-Bundesliga,2324,2024-02-24 Bayern Munich-RasenBallsport Leipzig,3,2023,23271,2024-02-24 17:30:00,117,136,Bayern Munich,RasenBallsport Leipzig,RBL,BAY,2,1,1.83179,0.57703,True,True,https://understat.com/match/23271
GER-Bundesliga,2324,2024-02-24 Borussia M.Gladbach-Bochum,3,2023,23266,2024-02-24 14:30:00,130,268,Borussia M.Gladbach,Bochum,BOC,BMG,5,2,3.64941,2.13723,True,True,https://understat.com/match/23266
GER-Bundesliga,2324,2024-02-24 Union Berlin-FC Heidenheim,3,2023,23269,2024-02-24 14:30:00,240,280,Union Berlin,FC Heidenheim,HEI,UNI,2,2,1.20933,1.33022,True,True,https://understat.com/match/23269
GER-Bundesliga,2324,2024-02-24 VfB Stuttgart-FC Cologne,3,2023,23263,2024-02-24 14:30:00,133,134,VfB Stuttgart,FC Cologne,COL,STU,1,1,1.87785,1.43669,True,True,https://understat.com/match/23263
GER-Bundesliga,2324,2024-02-24 Werder Bremen-Darmstadt,3,2023,23265,2024-02-24 14:30:00,123,127,Werder Bremen,Darmstadt,DAR,WER,1,1,1.5891,0.890186,True,True,https://understat.com/match/23265
GER-Bundesliga,2324,2024-02-25 Augsburg-Freiburg,3,2023,23264,2024-02-25 18:30:00,121,135,Augsburg,Freiburg,FRE,AUG,2,1,2.40818,1.42649,True,True,https://understat.com/match/23264
GER-Bundesliga,2324,2024-02-25 Borussia Dortmund-Hoffenheim,3,2023,23270,2024-02-25 16:30:00,129,120,Borussia Dortmund,Hoffenheim,HOF,DOR,2,3,3.06361,1.31588,True,True,https://understat.com/match/23270
GER-Bundesliga,2324,2024-02-25 Eintracht Frankfurt-Wolfsburg,3,2023,23267,2024-02-25 14:30:00,132,131,Eintracht Frankfurt,Wolfsburg,WOL,EIN,2,2,1.53623,1.18165,True,True,https://understat.com/match/23267
GER-Bundesliga,2324,2024-03-01 Freiburg-Bayern Munich,3,2023,23273,2024-03-01 19:30:00,135,117,Freiburg,Bayern Munich,BAY,FRE,2,2,1.53977,2.4424,True,True,https://understat.com/match/23273
